"order_date","product_name","category","region","quantity","sales","profit","cost","unit_price","margem_percentual"
"2024-12-31","Printer","Office","North","4",3640.0,348.93,3291.07,910.0,9.59
"2022-11-27","Mouse","Accessories","East","7",1197.0,106.53,1090.47,171.0,8.9
"2022-05-11","Tablet","Electronics","South","5",5865.0,502.73,5362.27,1173.0,8.57
"2024-03-16","Mouse","Accessories","South","2",786.0,202.87,583.13,393.0,25.81
"2022-09-10","Mouse","Accessories","West","1",509.0,103.28,405.72,509.0,20.29
"2023-12-01","Camera","Electronics","West","1",524.0,106.35,417.65,524.0,20.3
"2023-10-09","Headphones","Accessories","North","7",6167.0,1027.98,5139.02,881.0,16.67
"2022-01-14","Camera","Electronics","South","7",3059.0,873.5,2185.5,437.0,28.56
"2022-04-02","Smartwatch","Electronics","East","9",5526.0,595.28,4930.72,614.0,10.77
"2024-10-22","Printer","Office","South","8",672.0,186.37,485.63,84.0,27.73
"2023-12-04","Monitor","Accessories","South","6",7074.0,1357.68,5716.32,1179.0,19.19
"2022-09-27","Smartwatch","Electronics","East","2",502.0,137.4,364.6,251.0,27.37
"2023-12-21","Tablet","Electronics","North","7",7462.0,2166.17,5295.83,1066.0,29.03
"2024-02-03","Smartphone","Electronics","West","5",4205.0,585.29,3619.71,841.0,13.92
"2023-10-10","Camera","Electronics","West","1",570.0,138.54,431.46,570.0,24.31
"2022-10-16","Headphones","Accessories","East","1",441.0,102.42,338.58,441.0,23.22
"2022-05-15","Mouse","Accessories","North","7",7469.0,589.81,6879.19,1067.0,7.9
"2023-02-11","Tablet","Electronics","South","2",2212.0,145.75,2066.25,1106.0,6.59
"2023-12-27","Tablet","Electronics","East","5",740.0,146.39,593.61,148.0,19.78
"2023-10-05","Headphones","Accessories","North","1",662.0,193.92,468.08,662.0,29.29
"2024-03-05","Mouse","Accessories","North","7",5712.0,651.27,5060.73,816.0,11.4
"2023-07-18","Smartwatch","Electronics","North","3",2739.0,572.73,2166.27,913.0,20.91
"2023-06-25","Keyboard","Accessories","West","5",1400.0,213.63,1186.37,280.0,15.26
"2023-11-13","Printer","Office","North","3",3477.0,939.2,2537.8,1159.0,27.01
"2022-07-09","Camera","Electronics","North","5",3475.0,570.36,2904.64,695.0,16.41
"2023-12-11","Laptop","Electronics","West","9",6138.0,1562.14,4575.86,682.0,25.45
"2023-03-18","Camera","Electronics","West","5",3665.0,406.93,3258.07,733.0,11.1
"2024-08-09","Printer","Office","North","2",2372.0,206.42,2165.58,1186.0,8.7
"2024-05-04","Laptop","Electronics","North","2",1382.0,211.11,1170.89,691.0,15.28
"2022-09-04","Laptop","Electronics","West","1",1126.0,194.08,931.92,1126.0,17.24
"2022-10-21","Printer","Office","West","8",1376.0,152.1,1223.9,172.0,11.05
"2024-01-22","Mouse","Accessories","West","4",988.0,147.91,840.09,247.0,14.97
"2023-04-09","Laptop","Electronics","North","9",10773.0,1907.36,8865.64,1197.0,17.71
"2023-02-07","Headphones","Accessories","South","4",3252.0,713.46,2538.54,813.0,21.94
"2023-05-04","Headphones","Accessories","North","3",2739.0,202.81,2536.19,913.0,7.4
"2023-04-18","Tablet","Electronics","South","7",2709.0,702.79,2006.21,387.0,25.94
"2022-12-12","Printer","Office","West","3",936.0,201.24,734.76,312.0,21.5
"2022-09-11","Camera","Electronics","West","4",3720.0,410.92,3309.08,930.0,11.05
"2024-03-26","Mouse","Accessories","West","5",5320.0,716.91,4603.09,1064.0,13.48
"2023-09-20","Headphones","Accessories","East","4",804.0,121.51,682.49,201.0,15.11
"2023-05-25","Laptop","Electronics","North","8",1224.0,246.77,977.23,153.0,20.16
"2022-12-04","Headphones","Accessories","South","9",8667.0,781.78,7885.22,963.0,9.02
"2022-06-10","Monitor","Accessories","West","3",3018.0,320.11,2697.89,1006.0,10.61
"2023-02-05","Laptop","Electronics","West","5",4325.0,1023.39,3301.61,865.0,23.66
"2024-01-20","Laptop","Electronics","South","3",1557.0,181.08,1375.92,519.0,11.63
"2022-01-27","Monitor","Accessories","South","6",3672.0,1002.5,2669.5,612.0,27.3
"2023-03-29","Mouse","Accessories","West","1",333.0,72.34,260.66,333.0,21.72
"2022-01-17","Headphones","Accessories","West","4",2384.0,577.26,1806.74,596.0,24.21
"2024-11-26","Mouse","Accessories","West","6",888.0,210.39,677.61,148.0,23.69
"2024-09-19","Laptop","Electronics","West","5",3280.0,954.17,2325.83,656.0,29.09
"2023-07-20","Mouse","Accessories","South","7",1239.0,177.39,1061.61,177.0,14.32
"2024-05-03","Headphones","Accessories","East","8",5880.0,436.85,5443.15,735.0,7.43
"2022-09-03","Smartphone","Electronics","West","2",1668.0,437.3,1230.7,834.0,26.22
"2024-07-09","Printer","Office","West","7",4109.0,1037.64,3071.36,587.0,25.25
"2022-11-17","Smartwatch","Electronics","West","7",595.0,148.5,446.5,85.0,24.96
"2023-12-28","Headphones","Accessories","East","7",8155.0,1587.91,6567.09,1165.0,19.47
"2022-05-30","Monitor","Accessories","South","3",1872.0,553.1,1318.9,624.0,29.55
"2024-04-17","Smartwatch","Electronics","East","6",2124.0,126.03,1997.97,354.0,5.93
"2024-09-30","Monitor","Accessories","West","5",5210.0,1338.8,3871.2,1042.0,25.7
"2024-06-02","Mouse","Accessories","South","7",5761.0,362.48,5398.52,823.0,6.29
"2022-09-26","Headphones","Accessories","South","7",6895.0,1596.35,5298.65,985.0,23.15
"2024-12-17","Smartwatch","Electronics","East","3",2118.0,317.08,1800.92,706.0,14.97
"2024-10-09","Smartwatch","Electronics","North","5",830.0,58.28,771.72,166.0,7.02
"2023-07-14","Smartwatch","Electronics","North","1",851.0,93.56,757.44,851.0,10.99
"2023-12-05","Tablet","Electronics","East","5",4730.0,1365.63,3364.37,946.0,28.87
"2022-06-03","Mouse","Accessories","West","6",5460.0,845.75,4614.25,910.0,15.49
"2024-12-28","Headphones","Accessories","East","5",5795.0,310.6,5484.4,1159.0,5.36
"2022-08-06","Laptop","Electronics","South","4",2008.0,338.44,1669.56,502.0,16.85
"2023-06-06","Mouse","Accessories","South","7",2842.0,425.24,2416.76,406.0,14.96
"2024-02-01","Mouse","Accessories","East","4",3404.0,392.22,3011.78,851.0,11.52
"2023-05-31","Smartwatch","Electronics","West","1",1065.0,228.63,836.37,1065.0,21.47
"2024-06-14","Tablet","Electronics","West","7",2149.0,121.69,2027.31,307.0,5.66
"2024-08-14","Keyboard","Accessories","East","8",5912.0,1143.04,4768.96,739.0,19.33
"2023-02-01","Mouse","Accessories","West","3",3348.0,331.28,3016.72,1116.0,9.89
"2024-04-28","Smartphone","Electronics","South","3",2409.0,531.79,1877.21,803.0,22.08
"2024-04-05","Tablet","Electronics","North","2",328.0,39.51,288.49,164.0,12.05
"2024-01-31","Smartphone","Electronics","West","8",6224.0,1561.42,4662.58,778.0,25.09
"2024-01-09","Smartwatch","Electronics","North","5",2530.0,486.09,2043.91,506.0,19.21
"2022-04-06","Headphones","Accessories","West","4",4108.0,462.17,3645.83,1027.0,11.25
"2024-05-22","Printer","Office","South","5",1640.0,391.36,1248.64,328.0,23.86
"2023-12-30","Laptop","Electronics","South","1",111.0,19.33,91.67,111.0,17.41
"2022-03-17","Headphones","Accessories","North","1",445.0,128.89,316.11,445.0,28.96
"2022-05-24","Printer","Office","North","4",3600.0,623.72,2976.28,900.0,17.33
"2024-06-09","Mouse","Accessories","North","3",1335.0,176.44,1158.56,445.0,13.22
"2024-12-01","Keyboard","Accessories","South","5",3090.0,242.15,2847.85,618.0,7.84
"2023-10-20","Printer","Office","East","5",3910.0,538.52,3371.48,782.0,13.77
"2024-03-05","Camera","Electronics","South","1",219.0,32.67,186.33,219.0,14.92
"2022-12-05","Smartphone","Electronics","West","5",390.0,27.77,362.23,78.0,7.12
"2022-08-05","Laptop","Electronics","North","6",3294.0,359.61,2934.39,549.0,10.92
"2023-03-21","Keyboard","Accessories","West","4",4572.0,1038.05,3533.95,1143.0,22.7
"2022-02-08","Monitor","Accessories","South","7",980.0,109.94,870.06,140.0,11.22
"2023-04-01","Headphones","Accessories","North","2",2262.0,532.12,1729.88,1131.0,23.52
"2022-12-14","Camera","Electronics","South","7",7518.0,1655.91,5862.09,1074.0,22.03
"2022-05-14","Camera","Electronics","South","1",873.0,158.97,714.03,873.0,18.21
"2022-02-16","Mouse","Accessories","North","6",1512.0,423.03,1088.97,252.0,27.98
"2024-08-28","Laptop","Electronics","West","1",705.0,165.16,539.84,705.0,23.43
"2023-10-30","Smartwatch","Electronics","North","8",3256.0,533.7,2722.3,407.0,16.39
"2023-06-24","Tablet","Electronics","West","4",556.0,81.77,474.23,139.0,14.71
"2023-05-17","Mouse","Accessories","East","9",7101.0,2105.82,4995.18,789.0,29.66
"2023-04-06","Laptop","Electronics","West","9",8802.0,1344.96,7457.04,978.0,15.28
"2023-03-26","Headphones","Accessories","South","6",5592.0,1294.16,4297.84,932.0,23.14
"2024-10-12","Tablet","Electronics","North","2",1852.0,168.92,1683.08,926.0,9.12
"2022-06-26","Monitor","Accessories","East","1",195.0,57.88,137.12,195.0,29.68
"2022-04-15","Mouse","Accessories","East","9",7884.0,2054.02,5829.98,876.0,26.05
"2023-12-10","Laptop","Electronics","East","5",4360.0,1160.55,3199.45,872.0,26.62
"2024-09-23","Mouse","Accessories","North","6",4920.0,929.18,3990.82,820.0,18.89
"2022-01-01","Mouse","Accessories","East","3",3474.0,565.0,2909.0,1158.0,16.26
"2022-02-03","Keyboard","Accessories","West","1",930.0,222.5,707.5,930.0,23.92
"2023-03-14","Tablet","Electronics","South","7",1421.0,248.02,1172.98,203.0,17.45
"2022-08-24","Headphones","Accessories","North","2",634.0,161.1,472.9,317.0,25.41
"2024-07-07","Camera","Electronics","East","1",673.0,114.42,558.58,673.0,17.0
"2022-04-13","Mouse","Accessories","South","5",3135.0,787.7,2347.3,627.0,25.13
"2024-05-08","Smartphone","Electronics","East","6",882.0,184.48,697.52,147.0,20.92
"2024-09-10","Smartphone","Electronics","East","4",1192.0,212.77,979.23,298.0,17.85
"2024-06-18","Printer","Office","South","3",390.0,112.08,277.92,130.0,28.74
"2024-09-10","Tablet","Electronics","North","1",834.0,95.54,738.46,834.0,11.46
"2022-05-06","Smartphone","Electronics","East","6",612.0,83.75,528.25,102.0,13.68
"2024-06-18","Headphones","Accessories","West","9",8073.0,710.23,7362.77,897.0,8.8
"2023-10-29","Keyboard","Accessories","North","8",2640.0,723.88,1916.12,330.0,27.42
"2023-11-13","Smartphone","Electronics","North","3",3234.0,440.7,2793.3,1078.0,13.63
"2022-08-21","Monitor","Accessories","West","5",4435.0,355.51,4079.49,887.0,8.02
"2024-03-04","Smartwatch","Electronics","North","2",2302.0,305.07,1996.93,1151.0,13.25
"2022-04-17","Camera","Electronics","East","6",1728.0,307.44,1420.56,288.0,17.79
"2023-12-20","Laptop","Electronics","East","4",228.0,54.05,173.95,57.0,23.71
"2022-03-19","Tablet","Electronics","West","6",3450.0,705.74,2744.26,575.0,20.46
"2024-07-07","Smartphone","Electronics","South","8",7456.0,1702.48,5753.52,932.0,22.83
"2023-04-30","Smartphone","Electronics","West","6",4728.0,705.85,4022.15,788.0,14.93
"2024-03-22","Smartwatch","Electronics","North","7",945.0,124.62,820.38,135.0,13.19
"2022-03-08","Laptop","Electronics","North","4",296.0,65.05,230.95,74.0,21.98
"2023-09-15","Smartphone","Electronics","West","4",640.0,149.89,490.11,160.0,23.42
"2023-03-01","Tablet","Electronics","North","1",797.0,65.27,731.73,797.0,8.19
"2023-10-24","Monitor","Accessories","North","4",1456.0,431.89,1024.11,364.0,29.66
"2024-04-22","Monitor","Accessories","South","6",4038.0,364.11,3673.89,673.0,9.02
"2023-06-27","Tablet","Electronics","West","7",5656.0,355.81,5300.19,808.0,6.29
"2023-04-13","Mouse","Accessories","West","4",3876.0,302.37,3573.63,969.0,7.8
